event,tag,sport,sport_code,sport_url,venue_name,venue_lat,venue_long,venue_name_clean
Mixed 4 x 100m Medley Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's Singles,table-tennis,Table Tennis,TTE,https://olympics.com/en/paris-2024/sports/table-tennis,Porte de Versailles (Table Tennis),48.8324338,2.2879537,Porte de Versailles
Women's Singles,table-tennis,Table Tennis,TTE,https://olympics.com/en/paris-2024/sports/table-tennis,Porte de Versailles (Table Tennis),48.8324338,2.2879537,Porte de Versailles
Mixed Doubles,table-tennis,Table Tennis,TTE,https://olympics.com/en/paris-2024/sports/table-tennis,Porte de Versailles (Table Tennis),48.8324338,2.2879537,Porte de Versailles
Men's Team,table-tennis,Table Tennis,TTE,https://olympics.com/en/paris-2024/sports/table-tennis,Porte de Versailles (Table Tennis),48.8324338,2.2879537,Porte de Versailles
Women's Team,table-tennis,Table Tennis,TTE,https://olympics.com/en/paris-2024/sports/table-tennis,Porte de Versailles (Table Tennis),48.8324338,2.2879537,Porte de Versailles
Men -58kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
Men -68kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
Men -80kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
Men +80kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
Women -49kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
Women -57kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
Women -67kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
